Demand for California (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389936&sdid=EBA.CAL-ALL.D.H
04:20:22 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAL-ALL.D.H megawatthours
07/22/2022 12H,30222
07/22/2022 11H,30956
07/22/2022 10H,32312
07/22/2022 09H,34025
07/22/2022 08H,36143
07/22/2022 07H,39457
07/22/2022 06H,42872
07/22/2022 05H,45045
07/22/2022 04H,46755
07/22/2022 03H,48169
07/22/2022 02H,48578
07/22/2022 01H,47938
07/22/2022 00H,46702
07/21/2022 23H,44516
07/21/2022 22H,42197
07/21/2022 21H,40207
07/21/2022 20H,38407
07/21/2022 19H,37532
07/21/2022 18H,36775
07/21/2022 17H,36077
07/21/2022 16H,34470
07/21/2022 15H,32515
07/21/2022 14H,31315
07/21/2022 13H,30859
07/21/2022 12H,30828
07/21/2022 11H,31370
07/21/2022 10H,32466
07/21/2022 09H,34389
07/21/2022 08H,36843
07/21/2022 07H,40166
07/21/2022 06H,43594
07/21/2022 05H,45937
07/21/2022 04H,47828
07/21/2022 03H,49504
07/21/2022 02H,50060
07/21/2022 01H,49616
07/21/2022 00H,47957
07/20/2022 23H,45621
07/20/2022 22H,42986
07/20/2022 21H,40771
07/20/2022 20H,39473
07/20/2022 19H,38341
07/20/2022 18H,37255
07/20/2022 17H,36515
07/20/2022 16H,35128
07/20/2022 15H,33041
07/20/2022 14H,31971
07/20/2022 13H,31487
07/20/2022 12H,31525
07/20/2022 11H,32139
07/20/2022 10H,33547
07/20/2022 09H,35212
07/20/2022 08H,37670
07/20/2022 07H,40884
07/20/2022 06H,44653
07/20/2022 05H,47142
07/20/2022 04H,49202
07/20/2022 03H,50374
07/20/2022 02H,50655
07/20/2022 01H,49940
07/20/2022 00H,48541
07/19/2022 23H,46620
07/19/2022 22H,43677
07/19/2022 21H,42154
07/19/2022 20H,40494
07/19/2022 19H,38571
07/19/2022 18H,37896
07/19/2022 17H,37186
07/19/2022 16H,35276
07/19/2022 15H,32903
07/19/2022 14H,31652
07/19/2022 13H,31341
07/19/2022 12H,31545
07/19/2022 11H,32239
07/19/2022 10H,33470
07/19/2022 09H,35223
07/19/2022 08H,37906
07/19/2022 07H,40548
07/19/2022 06H,44098
07/19/2022 05H,46586
07/19/2022 04H,48666
07/19/2022 03H,50020
07/19/2022 02H,50195
07/19/2022 01H,49620
07/19/2022 00H,48736
07/18/2022 23H,47921
07/18/2022 22H,46014
07/18/2022 21H,44114
07/18/2022 20H,42460
07/18/2022 19H,40614
07/18/2022 18H,39235
07/18/2022 17H,37673
07/18/2022 16H,35606
07/18/2022 15H,33091
07/18/2022 14H,31388
07/18/2022 13H,30629
07/18/2022 12H,30879
07/18/2022 11H,31316
07/18/2022 10H,32686
07/18/2022 09H,34232
07/18/2022 08H,36286
07/18/2022 07H,39142
07/18/2022 06H,42037
07/18/2022 05H,44400
07/18/2022 04H,46054
07/18/2022 03H,46817
07/18/2022 02H,46380
07/18/2022 01H,45278
07/18/2022 00H,44222
07/17/2022 23H,42350
07/17/2022 22H,40123
07/17/2022 21H,38203
07/17/2022 20H,36507
07/17/2022 19H,35115
07/17/2022 18H,33679
07/17/2022 17H,32447
07/17/2022 16H,30731
07/17/2022 15H,29178
07/17/2022 14H,28895
07/17/2022 13H,29193
07/17/2022 12H,29915
07/17/2022 11H,31017
07/17/2022 10H,32696
07/17/2022 09H,34492
07/17/2022 08H,36882
07/17/2022 07H,39760
07/17/2022 06H,42831
07/17/2022 05H,45005
07/17/2022 04H,46654
07/17/2022 03H,47945
07/17/2022 02H,47488
07/17/2022 01H,46173
07/17/2022 00H,44445
07/16/2022 23H,42159
07/16/2022 22H,39980
07/16/2022 21H,38425
07/16/2022 20H,37156
07/16/2022 19H,35683
07/16/2022 18H,34673
07/16/2022 17H,33523
07/16/2022 16H,32033
07/16/2022 15H,29761
07/16/2022 14H,29280
07/16/2022 13H,29299
07/16/2022 12H,30016
07/16/2022 11H,31018
07/16/2022 10H,32248
07/16/2022 09H,34064
07/16/2022 08H,36534
07/16/2022 07H,39539
07/16/2022 06H,42462
07/16/2022 05H,44554
07/16/2022 04H,46143
07/16/2022 03H,47399
07/16/2022 02H,47760
07/16/2022 01H,46798
07/16/2022 00H,45415
07/15/2022 23H,43556
07/15/2022 22H,41488
07/15/2022 21H,39529
07/15/2022 20H,38277
07/15/2022 19H,37534
07/15/2022 18H,36628
07/15/2022 17H,35655
07/15/2022 16H,34032
07/15/2022 15H,31852
07/15/2022 14H,30534
07/15/2022 13H,29777
07/15/2022 12H,29873
07/15/2022 11H,30482
07/15/2022 10H,31747
07/15/2022 09H,33424
07/15/2022 08H,35841
07/15/2022 07H,38604
07/15/2022 06H,41583
07/15/2022 05H,43357
07/15/2022 04H,44795
07/15/2022 03H,46001
07/15/2022 02H,45957
07/15/2022 01H,44967
07/15/2022 00H,43564
07/14/2022 23H,42003
07/14/2022 22H,39776
07/14/2022 21H,38409
07/14/2022 20H,37308
07/14/2022 19H,36584
07/14/2022 18H,35936
07/14/2022 17H,35144
07/14/2022 16H,33517
07/14/2022 15H,31420
07/14/2022 14H,30296
07/14/2022 13H,29328
07/14/2022 12H,29534
07/14/2022 11H,30017
07/14/2022 10H,30896
07/14/2022 09H,32637
07/14/2022 08H,34869
07/14/2022 07H,37824
07/14/2022 06H,40663
07/14/2022 05H,42565
07/14/2022 04H,43895
07/14/2022 03H,44857
07/14/2022 02H,44446
07/14/2022 01H,43352
07/14/2022 00H,42041
07/13/2022 23H,39965
07/13/2022 22H,38444
07/13/2022 21H,36847
07/13/2022 20H,35250
07/13/2022 19H,34657
07/13/2022 18H,34476
07/13/2022 17H,33996
07/13/2022 16H,32777
07/13/2022 15H,31436
07/13/2022 14H,30175
07/13/2022 13H,29353
07/13/2022 12H,29277
07/13/2022 11H,29654
07/13/2022 10H,31030
07/13/2022 09H,32703
07/13/2022 08H,34936
07/13/2022 07H,37791
07/13/2022 06H,40650
07/13/2022 05H,42632
07/13/2022 04H,44105
07/13/2022 03H,45174
07/13/2022 02H,44851
07/13/2022 01H,44008
07/13/2022 00H,42569
07/12/2022 23H,40942
07/12/2022 22H,38812
07/12/2022 21H,37252
07/12/2022 20H,36451
07/12/2022 19H,35974
07/12/2022 18H,35274
07/12/2022 17H,34952
07/12/2022 16H,33548
07/12/2022 15H,31907
07/12/2022 14H,30799
07/12/2022 13H,29968
07/12/2022 12H,30284
07/12/2022 11H,30696
07/12/2022 10H,31929
07/12/2022 09H,33651
07/12/2022 08H,36147
07/12/2022 07H,39327
07/12/2022 06H,42854
07/12/2022 05H,45062
07/12/2022 04H,46951
07/12/2022 03H,48356
07/12/2022 02H,48537
07/12/2022 01H,47937
07/12/2022 00H,46667
07/11/2022 23H,44755
07/11/2022 22H,42849
07/11/2022 21H,40779
07/11/2022 20H,38933
07/11/2022 19H,37731
07/11/2022 18H,36814
07/11/2022 17H,35613
07/11/2022 16H,33999
07/11/2022 15H,31484
07/11/2022 14H,29805
07/11/2022 13H,28743
07/11/2022 12H,28620
07/11/2022 11H,29513
07/11/2022 10H,30504
07/11/2022 09H,32377
07/11/2022 08H,34831
07/11/2022 07H,38147
07/11/2022 06H,41346
07/11/2022 05H,43213
07/11/2022 04H,44776
07/11/2022 03H,45519
07/11/2022 02H,44407
07/11/2022 01H,42537
07/11/2022 00H,40265
07/10/2022 23H,37619
