Demand for New England (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389942&sdid=EBA.NE-ALL.D.H
12:32:10 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.D.H megawatthours
06/7/2022 16H,12384
06/7/2022 15H,11880
06/7/2022 14H,11849
06/7/2022 13H,12103
06/7/2022 12H,12168
06/7/2022 11H,11541
06/7/2022 10H,10494
06/7/2022 09H,10506
06/7/2022 08H,10371
06/7/2022 07H,10531
06/7/2022 06H,10717
06/7/2022 05H,11203
06/7/2022 04H,11773
06/7/2022 03H,13000
06/7/2022 02H,14277
06/7/2022 01H,14975
06/7/2022 00H,15193
06/6/2022 23H,15311
06/6/2022 22H,15063
06/6/2022 21H,14263
06/6/2022 20H,13434
06/6/2022 19H,12816
06/6/2022 18H,12261
06/6/2022 17H,11662
06/6/2022 16H,11364
06/6/2022 15H,11209
06/6/2022 14H,11278
06/6/2022 13H,11501
06/6/2022 12H,11611
06/6/2022 11H,11573
06/6/2022 10H,11094
06/6/2022 09H,10529
06/6/2022 08H,10312
06/6/2022 07H,10345
06/6/2022 06H,10288
06/6/2022 05H,10728
06/6/2022 04H,10962
06/6/2022 03H,11860
06/6/2022 02H,12981
06/6/2022 01H,13525
06/6/2022 00H,13670
06/5/2022 23H,13505
06/5/2022 22H,12679
06/5/2022 21H,11513
06/5/2022 20H,10660
06/5/2022 19H,10064
06/5/2022 18H,9728
06/5/2022 17H,9776
06/5/2022 16H,9796
06/5/2022 15H,9738
06/5/2022 14H,9618
06/5/2022 13H,9647
06/5/2022 12H,9706
06/5/2022 11H,9664
06/5/2022 10H,9593
06/5/2022 09H,9619
06/5/2022 08H,9416
06/5/2022 07H,9619
06/5/2022 06H,9653
06/5/2022 05H,10163
06/5/2022 04H,10981
06/5/2022 03H,11991
06/5/2022 02H,12904
06/5/2022 01H,13371
06/5/2022 00H,13574
06/4/2022 23H,13553
06/4/2022 22H,12899
06/4/2022 21H,12013
06/4/2022 20H,11247
06/4/2022 19H,10683
06/4/2022 18H,10355
06/4/2022 17H,10090
06/4/2022 16H,10038
06/4/2022 15H,10292
06/4/2022 14H,10590
06/4/2022 13H,10652
06/4/2022 12H,10396
06/4/2022 11H,10249
06/4/2022 10H,9914
06/4/2022 09H,9999
06/4/2022 08H,10004
06/4/2022 07H,10361
06/4/2022 06H,10613
06/4/2022 05H,10538
06/4/2022 04H,11303
06/4/2022 03H,12285
06/4/2022 02H,13257
06/4/2022 01H,13792
06/4/2022 00H,13944
06/3/2022 23H,13996
06/3/2022 22H,13578
06/3/2022 21H,12908
06/3/2022 20H,12459
06/3/2022 19H,12228
06/3/2022 18H,12189
06/3/2022 17H,12291
06/3/2022 16H,12559
06/3/2022 15H,12861
06/3/2022 14H,12993
06/3/2022 13H,12925
06/3/2022 12H,12439
06/3/2022 11H,11555
06/3/2022 10H,10987
06/3/2022 09H,10660
06/3/2022 08H,10488
06/3/2022 07H,10589
06/3/2022 06H,10847
06/3/2022 05H,10896
06/3/2022 04H,11255
06/3/2022 03H,12265
06/3/2022 02H,13362
06/3/2022 01H,13956
06/3/2022 00H,14002
06/2/2022 23H,14068
06/2/2022 22H,14046
06/2/2022 21H,13711
06/2/2022 20H,13282
06/2/2022 19H,13039
06/2/2022 18H,13056
06/2/2022 17H,12486
06/2/2022 16H,12084
06/2/2022 15H,12355
06/2/2022 14H,12607
06/2/2022 13H,12666
06/2/2022 12H,12394
06/2/2022 11H,11491
06/2/2022 10H,10584
06/2/2022 09H,10441
06/2/2022 08H,10302
06/2/2022 07H,10340
06/2/2022 06H,10507
06/2/2022 05H,10271
