Demand for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389944&sdid=EBA.NW-ALL.D.H
04:14:35 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.D.H megawatthours
07/22/2022 12H,37474
07/22/2022 11H,37349
07/22/2022 10H,37789
07/22/2022 09H,38909
07/22/2022 08H,40849
07/22/2022 07H,43663
07/22/2022 06H,47241
07/22/2022 05H,50906
07/22/2022 04H,54299
07/22/2022 03H,56838
07/22/2022 02H,59210
07/22/2022 01H,60262
07/22/2022 00H,59924
07/21/2022 23H,59006
07/21/2022 22H,57761
07/21/2022 21H,56499
07/21/2022 20H,54475
07/21/2022 19H,51558
07/21/2022 18H,48863
07/21/2022 17H,47340
07/21/2022 16H,45118
07/21/2022 15H,42833
07/21/2022 14H,40214
07/21/2022 13H,38082
07/21/2022 12H,37016
07/21/2022 11H,36795
07/21/2022 10H,37487
07/21/2022 09H,38819
07/21/2022 08H,40737
07/21/2022 07H,43649
07/21/2022 06H,47335
07/21/2022 05H,51334
07/21/2022 04H,54181
07/21/2022 03H,56394
07/21/2022 02H,58265
07/21/2022 01H,59114
07/21/2022 00H,59311
07/20/2022 23H,58947
07/20/2022 22H,57951
07/20/2022 21H,56360
07/20/2022 20H,54324
07/20/2022 19H,52147
07/20/2022 18H,49771
07/20/2022 17H,47399
07/20/2022 16H,45001
07/20/2022 15H,42791
07/20/2022 14H,40193
07/20/2022 13H,38194
07/20/2022 12H,37158
07/20/2022 11H,37040
07/20/2022 10H,37591
07/20/2022 09H,38889
07/20/2022 08H,40794
07/20/2022 07H,43504
07/20/2022 06H,47077
07/20/2022 05H,50751
07/20/2022 04H,53678
07/20/2022 03H,56167
07/20/2022 02H,57568
07/20/2022 01H,58739
07/20/2022 00H,57200
07/19/2022 23H,56117
07/19/2022 22H,54019
07/19/2022 21H,52846
07/19/2022 20H,52905
07/19/2022 19H,52137
07/19/2022 18H,49787
07/19/2022 17H,47575
07/19/2022 16H,45511
07/19/2022 15H,43131
07/19/2022 14H,40777
07/19/2022 13H,38829
07/19/2022 12H,37491
07/19/2022 11H,37076
07/19/2022 10H,37585
07/19/2022 09H,38593
07/19/2022 08H,40119
07/19/2022 07H,42306
07/19/2022 06H,45589
07/19/2022 05H,49038
07/19/2022 04H,51598
07/19/2022 03H,53366
07/19/2022 02H,55168
07/19/2022 01H,56142
07/19/2022 00H,56079
07/18/2022 23H,55547
07/18/2022 22H,54748
07/18/2022 21H,53871
07/18/2022 20H,52866
07/18/2022 19H,51607
07/18/2022 18H,49812
07/18/2022 17H,48191
07/18/2022 16H,45981
07/18/2022 15H,43439
07/18/2022 14H,40914
07/18/2022 13H,38945
07/18/2022 12H,37687
07/18/2022 11H,37124
07/18/2022 10H,37206
07/18/2022 09H,38049
07/18/2022 08H,39740
07/18/2022 07H,42285
07/18/2022 06H,44969
07/18/2022 05H,47394
07/18/2022 04H,48221
07/18/2022 03H,49698
07/18/2022 02H,53190
07/18/2022 01H,54363
07/18/2022 00H,54287
07/17/2022 23H,53292
07/17/2022 22H,51950
07/17/2022 21H,50543
07/17/2022 20H,49024
07/17/2022 19H,47107
07/17/2022 18H,44908
07/17/2022 17H,42723
07/17/2022 16H,39974
07/17/2022 15H,38095
07/17/2022 14H,35984
07/17/2022 13H,35145
07/17/2022 12H,35102
07/17/2022 11H,35439
07/17/2022 10H,36153
07/17/2022 09H,37319
07/17/2022 08H,38851
07/17/2022 07H,41055
07/17/2022 06H,44090
07/17/2022 05H,46968
07/17/2022 04H,49201
07/17/2022 03H,51005
07/17/2022 02H,52685
07/17/2022 01H,53543
07/17/2022 00H,53713
07/16/2022 23H,52640
07/16/2022 22H,52384
07/16/2022 21H,51399
07/16/2022 20H,50309
07/16/2022 19H,48775
07/16/2022 18H,46835
07/16/2022 17H,44795
07/16/2022 16H,42388
07/16/2022 15H,39655
07/16/2022 14H,37288
07/16/2022 13H,36050
07/16/2022 12H,36142
07/16/2022 11H,36325
07/16/2022 10H,37114
07/16/2022 09H,38342
07/16/2022 08H,39897
07/16/2022 07H,41728
07/16/2022 06H,45184
07/16/2022 05H,48241
07/16/2022 04H,50420
07/16/2022 03H,52259
07/16/2022 02H,53975
07/16/2022 01H,55091
07/16/2022 00H,55687
07/15/2022 23H,55328
07/15/2022 22H,54263
07/15/2022 21H,53182
07/15/2022 20H,51505
07/15/2022 19H,50002
07/15/2022 18H,48285
07/15/2022 17H,46340
07/15/2022 16H,44273
07/15/2022 15H,42238
07/15/2022 14H,39589
07/15/2022 13H,37969
07/15/2022 12H,37141
07/15/2022 11H,36689
07/15/2022 10H,37013
07/15/2022 09H,37923
07/15/2022 08H,39576
07/15/2022 07H,42088
07/15/2022 06H,45406
07/15/2022 05H,48758
07/15/2022 04H,51270
07/15/2022 03H,53379
07/15/2022 02H,55000
07/15/2022 01H,56355
07/15/2022 00H,56904
07/14/2022 23H,56957
07/14/2022 22H,56200
07/14/2022 21H,55396
07/14/2022 20H,53955
07/14/2022 19H,52034
07/14/2022 18H,49902
07/14/2022 17H,47808
07/14/2022 16H,45583
07/14/2022 15H,43177
07/14/2022 14H,40573
07/14/2022 13H,38584
07/14/2022 12H,37603
07/14/2022 11H,37256
07/14/2022 10H,37734
07/14/2022 09H,38687
07/14/2022 08H,40273
07/14/2022 07H,42665
07/14/2022 06H,45386
07/14/2022 05H,49626
07/14/2022 04H,52415
07/14/2022 03H,54535
07/14/2022 02H,56063
07/14/2022 01H,57277
07/14/2022 00H,57673
07/13/2022 23H,57460
07/13/2022 22H,56369
07/13/2022 21H,55053
07/13/2022 20H,53382
07/13/2022 19H,51670
07/13/2022 18H,49652
07/13/2022 17H,47526
07/13/2022 16H,45036
07/13/2022 15H,42992
07/13/2022 14H,40518
07/13/2022 13H,38633
07/13/2022 12H,37725
07/13/2022 11H,37519
07/13/2022 10H,38112
07/13/2022 09H,39335
07/13/2022 08H,41192
07/13/2022 07H,43851
07/13/2022 06H,47393
07/13/2022 05H,51217
07/13/2022 04H,54314
07/13/2022 03H,56423
07/13/2022 02H,58811
07/13/2022 01H,59999
07/13/2022 00H,60015
07/12/2022 23H,59487
07/12/2022 22H,57576
07/12/2022 21H,53546
07/12/2022 20H,53895
07/12/2022 19H,51548
07/12/2022 18H,49064
07/12/2022 17H,46625
07/12/2022 16H,43169
07/12/2022 15H,42174
07/12/2022 14H,39663
07/12/2022 13H,37762
07/12/2022 12H,37120
07/12/2022 11H,36867
07/12/2022 10H,37471
07/12/2022 09H,38909
07/12/2022 08H,40924
07/12/2022 07H,43660
07/12/2022 06H,47317
07/12/2022 05H,51243
07/12/2022 04H,54222
07/12/2022 03H,56305
07/12/2022 02H,57786
07/12/2022 01H,58292
07/12/2022 00H,57773
07/11/2022 23H,56228
07/11/2022 22H,54527
07/11/2022 21H,52605
07/11/2022 20H,50531
07/11/2022 19H,48643
07/11/2022 18H,46833
07/11/2022 17H,44989
07/11/2022 16H,43305
07/11/2022 15H,41400
07/11/2022 14H,39195
07/11/2022 13H,36995
07/11/2022 12H,35878
07/11/2022 11H,35488
07/11/2022 10H,35897
07/11/2022 09H,36978
07/11/2022 08H,38572
07/11/2022 07H,41041
07/11/2022 06H,44322
07/11/2022 05H,47683
07/11/2022 04H,50041
07/11/2022 03H,51796
07/11/2022 02H,53157
07/11/2022 01H,53723
07/11/2022 00H,53450
07/10/2022 23H,52628
07/10/2022 22H,51421
07/10/2022 21H,50010
07/10/2022 20H,48533
07/10/2022 19H,46881
07/10/2022 18H,44936
07/10/2022 17H,42896
07/10/2022 16H,40266
07/10/2022 15H,37689
07/10/2022 14H,35370
07/10/2022 13H,34515
07/10/2022 12H,34789
07/10/2022 11H,35152
07/10/2022 10H,36140
07/10/2022 09H,37436
07/10/2022 08H,39329
07/10/2022 07H,41683
07/10/2022 06H,44558
07/10/2022 05H,47357
07/10/2022 04H,49614
07/10/2022 03H,51663
07/10/2022 02H,53655
07/10/2022 01H,54459
07/10/2022 00H,54433
07/9/2022 23H,53501
07/9/2022 22H,52295
07/9/2022 21H,50701
07/9/2022 20H,49163
07/9/2022 19H,47267
07/9/2022 18H,45363
07/9/2022 17H,43251
07/9/2022 16H,40904
07/9/2022 15H,38410
07/9/2022 14H,36190
07/9/2022 13H,34917
07/9/2022 12H,34804
07/9/2022 11H,35108
07/9/2022 10H,35872
07/9/2022 09H,37019
