Demand for New York (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389943&sdid=EBA.NY-ALL.D.H
12:50:26 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NY-ALL.D.H megawatthours
06/7/2022 16H,18847
06/7/2022 15H,18382
06/7/2022 14H,17959
06/7/2022 13H,17436
06/7/2022 12H,16676
06/7/2022 11H,15496
06/7/2022 10H,14306
06/7/2022 09H,13764
06/7/2022 08H,13712
06/7/2022 07H,13998
06/7/2022 06H,14484
06/7/2022 05H,15157
06/7/2022 04H,16195
06/7/2022 03H,17466
06/7/2022 02H,18682
06/7/2022 01H,19241
06/7/2022 00H,19639
06/6/2022 23H,20217
06/6/2022 22H,20553
06/6/2022 21H,20320
06/6/2022 20H,19823
06/6/2022 19H,19221
06/6/2022 18H,18671
06/6/2022 17H,18198
06/6/2022 16H,17757
06/6/2022 15H,17339
06/6/2022 14H,17039
06/6/2022 13H,16647
06/6/2022 12H,16051
06/6/2022 11H,14922
06/6/2022 10H,13757
06/6/2022 09H,13202
06/6/2022 08H,13067
06/6/2022 07H,13230
06/6/2022 06H,13591
06/6/2022 05H,14163
06/6/2022 04H,14974
06/6/2022 03H,16035
06/6/2022 02H,16956
06/6/2022 01H,17271
06/6/2022 00H,17434
06/5/2022 23H,17536
06/5/2022 22H,17191
06/5/2022 21H,16512
06/5/2022 20H,15807
06/5/2022 19H,15260
06/5/2022 18H,14835
06/5/2022 17H,14528
06/5/2022 16H,14223
06/5/2022 15H,13930
06/5/2022 14H,13671
06/5/2022 13H,13319
06/5/2022 12H,12977
06/5/2022 11H,12735
06/5/2022 10H,12603
06/5/2022 09H,12683
06/5/2022 08H,12817
06/5/2022 07H,13119
06/5/2022 06H,13613
06/5/2022 05H,14312
06/5/2022 04H,15249
06/5/2022 03H,16248
06/5/2022 02H,17067
06/5/2022 01H,17294
06/5/2022 00H,17622
06/4/2022 23H,17781
06/4/2022 22H,17497
06/4/2022 21H,17028
06/4/2022 20H,16589
06/4/2022 19H,16298
06/4/2022 18H,16071
06/4/2022 17H,15866
06/4/2022 16H,15558
06/4/2022 15H,15200
06/4/2022 14H,14850
06/4/2022 13H,14492
06/4/2022 12H,13962
06/4/2022 11H,13419
06/4/2022 10H,13110
06/4/2022 09H,13126
06/4/2022 08H,13256
06/4/2022 07H,13608
06/4/2022 06H,14142
06/4/2022 05H,14896
06/4/2022 04H,15911
06/4/2022 03H,17039
06/4/2022 02H,18067
06/4/2022 01H,18544
06/4/2022 00H,19052
06/3/2022 23H,19496
06/3/2022 22H,19691
06/3/2022 21H,19445
06/3/2022 20H,18953
06/3/2022 19H,18497
06/3/2022 18H,18200
06/3/2022 17H,17971
06/3/2022 16H,17753
06/3/2022 15H,17520
06/3/2022 14H,17252
06/3/2022 13H,17016
06/3/2022 12H,16515
06/3/2022 11H,15502
06/3/2022 10H,14444
06/3/2022 09H,13980
06/3/2022 08H,13968
06/3/2022 07H,14227
06/3/2022 06H,14672
06/3/2022 05H,15346
06/3/2022 04H,16331
06/3/2022 03H,17578
06/3/2022 02H,18820
06/3/2022 01H,19397
06/3/2022 00H,19727
06/2/2022 23H,20194
06/2/2022 22H,20542
06/2/2022 21H,20616
06/2/2022 20H,20256
06/2/2022 19H,19874
06/2/2022 18H,19579
06/2/2022 17H,19200
06/2/2022 16H,18714
06/2/2022 15H,18187
06/2/2022 14H,17763
06/2/2022 13H,17281
06/2/2022 12H,16534
06/2/2022 11H,15324
06/2/2022 10H,14144
06/2/2022 09H,13589
06/2/2022 08H,13502
06/2/2022 07H,13703
06/2/2022 06H,14071
06/2/2022 05H,14654
06/2/2022 04H,15495
06/2/2022 03H,16645
06/2/2022 02H,17698
06/2/2022 01H,18286
06/2/2022 00H,18619
06/1/2022 23H,18921
06/1/2022 22H,19213
06/1/2022 21H,19186
06/1/2022 20H,19226
06/1/2022 19H,19316
06/1/2022 18H,19243
06/1/2022 17H,19071
06/1/2022 16H,18765
06/1/2022 15H,18342
06/1/2022 14H,18102
06/1/2022 13H,17890
06/1/2022 12H,17319
06/1/2022 11H,16292
06/1/2022 10H,15304
06/1/2022 09H,14932
06/1/2022 08H,15045
06/1/2022 07H,15526
06/1/2022 06H,16276
06/1/2022 05H,17358
06/1/2022 04H,18954
06/1/2022 03H,20992
06/1/2022 02H,23208
06/1/2022 01H,24725
06/1/2022 00H,25860
05/31/2022 23H,26636
05/31/2022 22H,27046
05/31/2022 21H,26831
05/31/2022 20H,26273
05/31/2022 19H,25576
05/31/2022 18H,24896
05/31/2022 17H,24046
05/31/2022 16H,23195
05/31/2022 15H,22268
05/31/2022 14H,21270
05/31/2022 13H,20176
05/31/2022 12H,18817
05/31/2022 11H,17200
05/31/2022 10H,15910
05/31/2022 09H,15367
05/31/2022 08H,15333
05/31/2022 07H,15574
05/31/2022 06H,16097
05/31/2022 05H,16779
05/31/2022 04H,17838
05/31/2022 03H,19141
05/31/2022 02H,20413
05/31/2022 01H,20944
05/31/2022 00H,21246
05/30/2022 23H,21497
05/30/2022 22H,21210
05/30/2022 21H,20472
05/30/2022 20H,19665
05/30/2022 19H,19019
05/30/2022 18H,18347
05/30/2022 17H,17695
05/30/2022 16H,16935
05/30/2022 15H,15961
05/30/2022 14H,15228
05/30/2022 13H,14541
05/30/2022 12H,13863
05/30/2022 11H,13256
05/30/2022 10H,12983
05/30/2022 09H,12925
05/30/2022 08H,12969
05/30/2022 07H,13196
05/30/2022 06H,13604
05/30/2022 05H,14210
05/30/2022 04H,15061
05/30/2022 03H,16020
05/30/2022 02H,16757
05/30/2022 01H,17037
05/30/2022 00H,17289
05/29/2022 23H,17433
05/29/2022 22H,17119
05/29/2022 21H,16496
05/29/2022 20H,15880
05/29/2022 19H,15412
05/29/2022 18H,15138
05/29/2022 17H,14963
05/29/2022 16H,14673
05/29/2022 15H,14286
05/29/2022 14H,13816
05/29/2022 13H,13427
05/29/2022 12H,12943
05/29/2022 11H,12597
05/29/2022 10H,12480
05/29/2022 09H,12496
05/29/2022 08H,12594
05/29/2022 07H,12874
05/29/2022 06H,13316
05/29/2022 05H,13982
05/29/2022 04H,14865
05/29/2022 03H,15806
05/29/2022 02H,16562
05/29/2022 01H,16763
05/29/2022 00H,16833
05/28/2022 23H,16795
05/28/2022 22H,16515
05/28/2022 21H,16232
05/28/2022 20H,16177
05/28/2022 19H,16214
05/28/2022 18H,16469
05/28/2022 17H,16710
05/28/2022 16H,16471
05/28/2022 15H,16249
05/28/2022 14H,15769
05/28/2022 13H,15142
05/28/2022 12H,14330
05/28/2022 11H,13687
05/28/2022 10H,13413
05/28/2022 09H,13338
05/28/2022 08H,13400
05/28/2022 07H,13660
05/28/2022 06H,14054
05/28/2022 05H,14689
05/28/2022 04H,15633
05/28/2022 03H,16626
05/28/2022 02H,17533
05/28/2022 01H,18054
05/28/2022 00H,18451
05/27/2022 23H,18933
05/27/2022 22H,19475
05/27/2022 21H,19620
05/27/2022 20H,19413
05/27/2022 19H,19312
05/27/2022 18H,19017
05/27/2022 17H,18677
05/27/2022 16H,18364
05/27/2022 15H,18029
05/27/2022 14H,17705
05/27/2022 13H,17163
05/27/2022 12H,16246
05/27/2022 11H,15062
05/27/2022 10H,13975
05/27/2022 09H,13450
05/27/2022 08H,13355
05/27/2022 07H,13525
05/27/2022 06H,13880
05/27/2022 05H,14443
05/27/2022 04H,15296
05/27/2022 03H,16387
05/27/2022 02H,17416
05/27/2022 01H,17872
05/27/2022 00H,17915
05/26/2022 23H,18145
05/26/2022 22H,18195
05/26/2022 21H,17904
05/26/2022 20H,17453
05/26/2022 19H,17036
05/26/2022 18H,16675
05/26/2022 17H,16210
05/26/2022 16H,16092
05/26/2022 15H,15937
05/26/2022 14H,15825
05/26/2022 13H,15631
05/26/2022 12H,15141
05/26/2022 11H,14199
05/26/2022 10H,13191
05/26/2022 09H,12638
05/26/2022 08H,12520
05/26/2022 07H,12686
05/26/2022 06H,12999
05/26/2022 05H,13559
05/26/2022 04H,14420
05/26/2022 03H,15511
05/26/2022 02H,16594
05/26/2022 01H,17068
05/26/2022 00H,17167
05/25/2022 23H,17408
05/25/2022 22H,17420
05/25/2022 21H,17021
05/25/2022 20H,16580
05/25/2022 19H,16291
05/25/2022 18H,16158
05/25/2022 17H,15964
05/25/2022 16H,15826
05/25/2022 15H,15704
05/25/2022 14H,15602
05/25/2022 13H,15472
05/25/2022 12H,15083
05/25/2022 11H,14158
05/25/2022 10H,13096
05/25/2022 09H,12550
05/25/2022 08H,12426
05/25/2022 07H,12544
05/25/2022 06H,12865
05/25/2022 05H,13380
05/25/2022 04H,14224
05/25/2022 03H,15297
05/25/2022 02H,16356
05/25/2022 01H,16822
05/25/2022 00H,16926
05/24/2022 23H,17064
05/24/2022 22H,17097
05/24/2022 21H,16821
05/24/2022 20H,16503
05/24/2022 19H,16224
05/24/2022 18H,16010
05/24/2022 17H,15908
05/24/2022 16H,15883
05/24/2022 15H,15830
05/24/2022 14H,15887
05/24/2022 13H,15899
05/24/2022 12H,15527
05/24/2022 11H,14590
05/24/2022 10H,13559
05/24/2022 09H,13001
05/24/2022 08H,12892
05/24/2022 07H,13062
05/24/2022 06H,13390
05/24/2022 05H,13918
05/24/2022 04H,14762
05/24/2022 03H,15910
05/24/2022 02H,17047
05/24/2022 01H,17567
05/24/2022 00H,17676
05/23/2022 23H,17911
05/23/2022 22H,18091
05/23/2022 21H,17744
05/23/2022 20H,17218
05/23/2022 19H,16822
05/23/2022 18H,16553
05/23/2022 17H,16388
05/23/2022 16H,16265
05/23/2022 15H,16217
05/23/2022 14H,16253
05/23/2022 13H,16255
05/23/2022 12H,15945
05/23/2022 11H,15218
05/23/2022 10H,14316
05/23/2022 09H,13909
05/23/2022 08H,13978
05/23/2022 07H,14321
05/23/2022 06H,14946
05/23/2022 05H,15728
05/23/2022 04H,16773
05/23/2022 03H,18061
05/23/2022 02H,19300
05/23/2022 01H,19860
05/23/2022 00H,20205
05/22/2022 23H,20785
05/22/2022 22H,21189
05/22/2022 21H,20997
05/22/2022 20H,20693
05/22/2022 19H,20287
05/22/2022 18H,19871
05/22/2022 17H,19443
05/22/2022 16H,18953
05/22/2022 15H,18075
05/22/2022 14H,16983
05/22/2022 13H,15820
05/22/2022 12H,14845
05/22/2022 11H,14244
05/22/2022 10H,14159
05/22/2022 09H,14309
05/22/2022 08H,14587
05/22/2022 07H,15057
05/22/2022 06H,15686
05/22/2022 05H,16567
05/22/2022 04H,17619
05/22/2022 03H,18712
05/22/2022 02H,19744
05/22/2022 01H,20421
05/22/2022 00H,20822
05/21/2022 23H,21247
05/21/2022 22H,21190
05/21/2022 21H,20644
05/21/2022 20H,19910
05/21/2022 19H,19393
05/21/2022 18H,18795
05/21/2022 17H,17980
05/21/2022 16H,17079
05/21/2022 15H,16198
05/21/2022 14H,15569
05/21/2022 13H,15058
05/21/2022 12H,14259
05/21/2022 11H,13494
05/21/2022 10H,13128
05/21/2022 09H,12989
05/21/2022 08H,13017
05/21/2022 07H,13253
05/21/2022 06H,13608
