Actual Net Interchange for New England (region) to New York (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3390279&sdid=EBA.NE-NY.ID.H
14:48:25 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-NY.ID.H megawatthours
06/4/2022 20H,830
06/4/2022 19H,813
06/4/2022 18H,886
06/4/2022 17H,784
06/4/2022 16H,665
06/4/2022 15H,394
06/4/2022 14H,177
06/4/2022 13H,-167
06/4/2022 12H,-258
06/4/2022 11H,-337
06/4/2022 10H,-55
06/4/2022 09H,19
06/4/2022 08H,167
06/4/2022 07H,67
06/4/2022 06H,-328
06/4/2022 05H,-72
06/4/2022 04H,-76
06/4/2022 03H,4
06/4/2022 02H,263
06/4/2022 01H,38
06/4/2022 00H,104
06/3/2022 23H,601
06/3/2022 22H,810
06/3/2022 21H,647
06/3/2022 20H,538
06/3/2022 19H,484
06/3/2022 18H,397
06/3/2022 17H,481
06/3/2022 16H,526
06/3/2022 15H,464
06/3/2022 14H,422
06/3/2022 13H,384
06/3/2022 12H,373
06/3/2022 11H,288
06/3/2022 10H,191
06/3/2022 09H,179
06/3/2022 08H,175
06/3/2022 07H,212
06/3/2022 06H,303
06/3/2022 05H,400
06/3/2022 04H,280
06/3/2022 03H,226
06/3/2022 02H,265
06/3/2022 01H,240
06/3/2022 00H,233
06/2/2022 23H,300
06/2/2022 22H,310
06/2/2022 21H,349
06/2/2022 20H,354
06/2/2022 19H,290
06/2/2022 18H,720
06/2/2022 17H,424
06/2/2022 16H,309
06/2/2022 15H,294
06/2/2022 14H,230
06/2/2022 13H,201
06/2/2022 12H,212
06/2/2022 11H,184
06/2/2022 10H,189
06/2/2022 09H,111
06/2/2022 08H,87
06/2/2022 07H,105
06/2/2022 06H,184
06/2/2022 05H,257
06/2/2022 04H,22
06/2/2022 03H,147
06/2/2022 02H,235
06/2/2022 01H,274
06/2/2022 00H,126
06/1/2022 23H,212
06/1/2022 22H,200
06/1/2022 21H,378
06/1/2022 20H,284
06/1/2022 19H,419
06/1/2022 18H,442
06/1/2022 17H,213
06/1/2022 16H,34
06/1/2022 15H,-1
06/1/2022 14H,-22
06/1/2022 13H,-85
06/1/2022 12H,-203
06/1/2022 11H,-156
06/1/2022 10H,-86
06/1/2022 09H,-155
06/1/2022 08H,-96
06/1/2022 07H,-144
06/1/2022 06H,-294
06/1/2022 05H,-279
06/1/2022 04H,166
06/1/2022 03H,552
06/1/2022 02H,685
06/1/2022 01H,591
06/1/2022 00H,763
05/31/2022 23H,895
05/31/2022 22H,884
05/31/2022 21H,974
05/31/2022 20H,992
05/31/2022 19H,971
05/31/2022 18H,1001
05/31/2022 17H,982
05/31/2022 16H,852
05/31/2022 15H,864
05/31/2022 14H,524
05/31/2022 13H,179
05/31/2022 12H,123
05/31/2022 11H,42
05/31/2022 10H,-16
05/31/2022 09H,-80
05/31/2022 08H,-189
05/31/2022 07H,-52
05/31/2022 06H,-81
05/31/2022 05H,-137
05/31/2022 04H,-265
05/31/2022 03H,-465
05/31/2022 02H,-710
05/31/2022 01H,-1080
05/31/2022 00H,-1056
05/30/2022 23H,-679
05/30/2022 22H,136
05/30/2022 21H,160
05/30/2022 20H,94
05/30/2022 19H,-265
05/30/2022 18H,-256
05/30/2022 17H,-393
05/30/2022 16H,-638
05/30/2022 15H,-619
05/30/2022 14H,-791
05/30/2022 13H,-833
05/30/2022 12H,-959
05/30/2022 11H,-926
05/30/2022 10H,-764
05/30/2022 09H,-718
05/30/2022 08H,-619
05/30/2022 07H,-633
05/30/2022 06H,-636
05/30/2022 05H,-362
05/30/2022 04H,-30
05/30/2022 03H,-208
05/30/2022 02H,-411
05/30/2022 01H,-537
05/30/2022 00H,-260
05/29/2022 23H,-344
05/29/2022 22H,-490
05/29/2022 21H,-592
05/29/2022 20H,-334
05/29/2022 19H,-258
05/29/2022 18H,-248
05/29/2022 17H,-243
05/29/2022 16H,-308
05/29/2022 15H,-566
05/29/2022 14H,-610
05/29/2022 13H,-668
05/29/2022 12H,-821
05/29/2022 11H,-885
05/29/2022 10H,-856
05/29/2022 09H,-741
05/29/2022 08H,-760
05/29/2022 07H,-837
05/29/2022 06H,-889
05/29/2022 05H,-770
05/29/2022 04H,-550
05/29/2022 03H,-580
05/29/2022 02H,-627
05/29/2022 01H,-654
05/29/2022 00H,-640
05/28/2022 23H,-753
05/28/2022 22H,-704
05/28/2022 21H,-813
05/28/2022 20H,-789
05/28/2022 19H,-631
05/28/2022 18H,-499
05/28/2022 17H,-565
05/28/2022 16H,-637
05/28/2022 15H,-613
05/28/2022 14H,-706
05/28/2022 13H,-849
05/28/2022 12H,-998
05/28/2022 11H,-1014
05/28/2022 10H,-975
05/28/2022 09H,-918
05/28/2022 08H,-793
05/28/2022 07H,-804
05/28/2022 06H,-607
05/28/2022 05H,-910
05/28/2022 04H,-588
05/28/2022 03H,-61
05/28/2022 02H,-159
05/28/2022 01H,-236
05/28/2022 00H,-424
05/27/2022 23H,-387
05/27/2022 22H,-125
05/27/2022 21H,5
05/27/2022 20H,248
05/27/2022 19H,300
05/27/2022 18H,130
05/27/2022 17H,-244
05/27/2022 16H,-520
05/27/2022 15H,-413
05/27/2022 14H,-179
05/27/2022 13H,31
05/27/2022 12H,200
05/27/2022 11H,253
05/27/2022 10H,77
05/27/2022 09H,170
05/27/2022 08H,286
05/27/2022 07H,257
05/27/2022 06H,226
05/27/2022 05H,-160
05/27/2022 04H,-84
05/27/2022 03H,80
05/27/2022 02H,204
05/27/2022 01H,59
05/27/2022 00H,129
05/26/2022 23H,306
05/26/2022 22H,318
05/26/2022 21H,370
05/26/2022 20H,354
05/26/2022 19H,341
05/26/2022 18H,403
05/26/2022 17H,369
05/26/2022 16H,342
05/26/2022 15H,358
05/26/2022 14H,319
05/26/2022 13H,222
05/26/2022 12H,170
05/26/2022 11H,128
05/26/2022 10H,59
05/26/2022 09H,-167
05/26/2022 08H,-115
05/26/2022 07H,-93
05/26/2022 06H,-206
05/26/2022 05H,-377
05/26/2022 04H,-456
05/26/2022 03H,-229
05/26/2022 02H,-199
05/26/2022 01H,-364
05/26/2022 00H,-443
05/25/2022 23H,-192
05/25/2022 22H,156
05/25/2022 21H,219
05/25/2022 20H,303
05/25/2022 19H,267
05/25/2022 18H,238
05/25/2022 17H,257
05/25/2022 16H,249
05/25/2022 15H,204
05/25/2022 14H,197
05/25/2022 13H,124
05/25/2022 12H,126
05/25/2022 11H,130
05/25/2022 10H,76
05/25/2022 09H,-155
05/25/2022 08H,-316
05/25/2022 07H,-232
05/25/2022 06H,-265
05/25/2022 05H,-425
05/25/2022 04H,-413
05/25/2022 03H,-345
